,id,title,genres_list,director,vote_average
0,19995,Avatar,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",James Cameron,7.2
1,285,Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,6.9
2,206647,Spectre,"['Action', 'Adventure', 'Crime']",Sam Mendes,6.3
3,49026,The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']",Christopher Nolan,7.6
4,49529,John Carter,"['Action', 'Adventure', 'Science Fiction']",Andrew Stanton,6.1
5,559,Spider-Man 3,"['Fantasy', 'Action', 'Adventure']",Sam Raimi,5.9
6,38757,Tangled,"['Animation', 'Family']",Byron Howard,7.4
7,99861,Avengers: Age of Ultron,"['Action', 'Adventure', 'Science Fiction']",Joss Whedon,7.3
8,767,Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']",David Yates,7.4
9,209112,Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']",Zack Snyder,5.7
10,1452,Superman Returns,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",Bryan Singer,5.4
11,10764,Quantum of Solace,"['Adventure', 'Action', 'Thriller', 'Crime']",Marc Forster,6.1
12,58,Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,7.0
13,57201,The Lone Ranger,"['Action', 'Adventure', 'Western']",Gore Verbinski,5.9
14,49521,Man of Steel,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Zack Snyder,6.5
15,2454,The Chronicles of Narnia: Prince Caspian,"['Adventure', 'Family', 'Fantasy']",Andrew Adamson,6.3
16,24428,The Avengers,"['Science Fiction', 'Action', 'Adventure']",Joss Whedon,7.4
17,1865,Pirates of the Caribbean: On Stranger Tides,"['Adventure', 'Action', 'Fantasy']",Rob Marshall,6.4
18,41154,Men in Black 3,"['Action', 'Comedy', 'Science Fiction']",Barry Sonnenfeld,6.2
19,122917,The Hobbit: The Battle of the Five Armies,"['Action', 'Adventure', 'Fantasy']",Peter Jackson,7.1
20,1930,The Amazing Spider-Man,"['Action', 'Adventure', 'Fantasy']",Marc Webb,6.5
21,20662,Robin Hood,"['Action', 'Adventure']",Ridley Scott,6.2
22,57158,The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']",Peter Jackson,7.6
23,2268,The Golden Compass,"['Adventure', 'Fantasy']",Chris Weitz,5.8
24,254,King Kong,"['Adventure', 'Drama', 'Action']",Peter Jackson,6.6
25,597,Titanic,"['Drama', 'Romance', 'Thriller']",James Cameron,7.5
26,271110,Captain America: Civil War,"['Adventure', 'Action', 'Science Fiction']",Anthony Russo,7.1
27,44833,Battleship,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",Peter Berg,5.5
28,135397,Jurassic World,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Colin Trevorrow,6.5
29,37724,Skyfall,"['Action', 'Adventure', 'Thriller']",Sam Mendes,6.9
30,558,Spider-Man 2,"['Action', 'Adventure', 'Fantasy']",Sam Raimi,6.7
31,68721,Iron Man 3,"['Action', 'Adventure', 'Science Fiction']",Shane Black,6.8
32,12155,Alice in Wonderland,"['Family', 'Fantasy', 'Adventure']",Tim Burton,6.4
33,36668,X-Men: The Last Stand,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",Brett Ratner,6.3
34,62211,Monsters University,"['Animation', 'Family']",Dan Scanlon,7.0
35,8373,Transformers: Revenge of the Fallen,"['Science Fiction', 'Action', 'Adventure']",Michael Bay,6.0
36,91314,Transformers: Age of Extinction,"['Science Fiction', 'Action', 'Adventure']",Michael Bay,5.8
37,68728,Oz: The Great and Powerful,"['Fantasy', 'Adventure', 'Family']",Sam Raimi,5.7
38,102382,The Amazing Spider-Man 2,"['Action', 'Adventure', 'Fantasy']",Marc Webb,6.5
39,20526,TRON: Legacy,"['Adventure', 'Action', 'Science Fiction']",Joseph Kosinski,6.3
40,49013,Cars 2,"['Animation', 'Family', 'Adventure', 'Comedy']",John Lasseter,5.8
41,44912,Green Lantern,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Martin Campbell,5.1
42,10193,Toy Story 3,"['Animation', 'Family', 'Comedy']",Lee Unkrich,7.6
43,534,Terminator Salvation,"['Action', 'Science Fiction', 'Thriller']",McG,5.9
44,168259,Furious 7,['Action'],James Wan,7.3
45,72190,World War Z,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",Marc Forster,6.7
46,127585,X-Men: Days of Future Past,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Bryan Singer,7.5
47,54138,Star Trek Into Darkness,"['Action', 'Adventure', 'Science Fiction']",J.J. Abrams,7.4
48,81005,Jack the Giant Slayer,"['Action', 'Family', 'Fantasy']",Bryan Singer,5.5
49,64682,The Great Gatsby,"['Drama', 'Romance']",Baz Luhrmann,7.3
50,9543,Prince of Persia: The Sands of Time,"['Adventure', 'Fantasy', 'Action', 'Romance']",Mike Newell,6.2
51,68726,Pacific Rim,"['Action', 'Science Fiction', 'Adventure']",Guillermo del Toro,6.7
52,38356,Transformers: Dark of the Moon,"['Action', 'Science Fiction', 'Adventure']",Michael Bay,6.1
53,217,Indiana Jones and the Kingdom of the Crystal Skull,"['Adventure', 'Action']",Steven Spielberg,5.7
54,105864,The Good Dinosaur,"['Adventure', 'Animation', 'Family']",Peter Sohn,6.6
55,62177,Brave,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",Brenda Chapman,6.7
56,188927,Star Trek Beyond,"['Action', 'Adventure', 'Science Fiction']",Justin Lin,6.6
57,10681,WALL·E,"['Animation', 'Family']",Andrew Stanton,7.8
58,5174,Rush Hour 3,"['Action', 'Comedy', 'Crime', 'Thriller']",Brett Ratner,6.1
59,14161,2012,"['Action', 'Adventure', 'Science Fiction']",Roland Emmerich,5.6
60,17979,A Christmas Carol,"['Animation', 'Drama']",Robert Zemeckis,6.6
61,76757,Jupiter Ascending,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",Lilly Wachowski,5.2
62,258489,The Legend of Tarzan,"['Action', 'Adventure']",David Yates,5.5
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['Adventure', 'Family', 'Fantasy']",Andrew Adamson,6.7
64,246655,X-Men: Apocalypse,['Science Fiction'],Bryan Singer,6.4
65,155,The Dark Knight,"['Drama', 'Action', 'Crime', 'Thriller']",Christopher Nolan,8.2
66,14160,Up,"['Animation', 'Comedy', 'Family', 'Adventure']",Pete Docter,7.7
67,15512,Monsters vs Aliens,"['Animation', 'Family', 'Adventure', 'Science Fiction']",Conrad Vernon,6.0
68,1726,Iron Man,"['Action', 'Science Fiction', 'Adventure']",Jon Favreau,7.4
69,44826,Hugo,"['Adventure', 'Drama', 'Family']",Martin Scorsese,7.0
70,8487,Wild Wild West,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",Barry Sonnenfeld,5.1
71,1735,The Mummy: Tomb of the Dragon Emperor,"['Adventure', 'Action', 'Fantasy']",Rob Cohen,5.2
72,297761,Suicide Squad,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",David Ayer,5.9
73,2698,Evan Almighty,"['Fantasy', 'Comedy', 'Family']",Tom Shadyac,5.3
74,137113,Edge of Tomorrow,"['Action', 'Science Fiction']",Doug Liman,7.6
75,9804,Waterworld,"['Adventure', 'Action']",Kevin Reynolds,5.9
76,14869,G.I. Joe: The Rise of Cobra,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Stephen Sommers,5.6
77,150540,Inside Out,"['Drama', 'Comedy', 'Animation', 'Family']",Pete Docter,8.0
78,278927,The Jungle Book,"['Family', 'Adventure', 'Drama', 'Fantasy']",Jon Favreau,6.7
79,10138,Iron Man 2,"['Adventure', 'Action', 'Science Fiction']",Jon Favreau,6.6
80,58595,Snow White and the Huntsman,"['Adventure', 'Fantasy', 'Drama']",Rupert Sanders,5.8
81,102651,Maleficent,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",Robert Stromberg,7.0
82,119450,Dawn of the Planet of the Apes,"['Science Fiction', 'Action', 'Drama', 'Thriller']",Matt Reeves,7.3
83,79698,The Lovers,"['Action', 'Adventure', 'Science Fiction', 'Romance']",Roland Joffé,4.8
84,64686,47 Ronin,"['Drama', 'Action', 'Adventure', 'Fantasy']",Carl Rinsch,5.9
85,100402,Captain America: The Winter Soldier,"['Action', 'Adventure', 'Science Fiction']",Anthony Russo,7.6
86,10192,Shrek Forever After,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",Mike Mitchell,6.0
87,158852,Tomorrowland,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",Brad Bird,6.2
88,177572,Big Hero 6,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",Chris Williams,7.8
89,82690,Wreck-It Ralph,"['Family', 'Animation', 'Comedy', 'Adventure']",Rich Moore,7.1
90,5255,The Polar Express,"['Adventure', 'Animation', 'Family', 'Fantasy']",Robert Zemeckis,6.4
91,47933,Independence Day: Resurgence,"['Action', 'Adventure', 'Science Fiction']",Roland Emmerich,4.9
92,10191,How to Train Your Dragon,"['Fantasy', 'Adventure', 'Animation', 'Family']",Chris Sanders,7.5
93,296,Terminator 3: Rise of the Machines,"['Action', 'Thriller', 'Science Fiction']",Jonathan Mostow,5.9
94,118340,Guardians of the Galaxy,"['Action', 'Science Fiction', 'Adventure']",James Gunn,7.9
95,157336,Interstellar,"['Adventure', 'Drama', 'Science Fiction']",Christopher Nolan,8.1
96,27205,Inception,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",Christopher Nolan,8.1
97,315011,Shin Godzilla,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",Hideaki Anno,6.5
98,49051,The Hobbit: An Unexpected Journey,"['Adventure', 'Fantasy', 'Action']",Peter Jackson,7.0
99,9799,The Fast and the Furious,"['Action', 'Crime', 'Thriller']",Rob Cohen,6.6
100,4922,The Curious Case of Benjamin Button,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",David Fincher,7.3
101,49538,X-Men: First Class,"['Action', 'Science Fiction', 'Adventure']",Matthew Vaughn,7.1
102,131634,The Hunger Games: Mockingjay - Part 2,"['Action', 'Adventure', 'Science Fiction']",Francis Lawrence,6.6
103,27022,The Sorcerer's Apprentice,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",Jon Turteltaub,5.8
104,503,Poseidon,"['Adventure', 'Action', 'Drama', 'Thriller']",Wolfgang Petersen,5.5
105,241259,Alice Through the Looking Glass,['Fantasy'],James Bobin,6.5
106,810,Shrek the Third,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",Chris Miller,6.0
107,68735,Warcraft,"['Action', 'Adventure', 'Fantasy']",Duncan Jones,6.3
108,87101,Terminator Genisys,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",Alan Taylor,5.8
109,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,"['Adventure', 'Family', 'Fantasy']",Michael Apted,6.2
110,676,Pearl Harbor,"['History', 'Romance', 'War']",Michael Bay,6.6
111,1858,Transformers,"['Adventure', 'Science Fiction', 'Action']",Michael Bay,6.6
112,1966,Alexander,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",Oliver Stone,5.6
113,675,Harry Potter and the Order of the Phoenix,"['Adventure', 'Fantasy', 'Family', 'Mystery']",David Yates,7.4
114,674,Harry Potter and the Goblet of Fire,"['Adventure', 'Fantasy', 'Family']",Mike Newell,7.5
115,8960,Hancock,"['Fantasy', 'Action']",Peter Berg,6.2
116,6479,I Am Legend,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']",Francis Lawrence,6.9
117,118,Charlie and the Chocolate Factory,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Tim Burton,6.7
118,2062,Ratatouille,"['Animation', 'Comedy', 'Family', 'Fantasy']",Jan Pinkava,7.5
119,272,Batman Begins,"['Action', 'Crime', 'Drama']",Christopher Nolan,7.5
120,10527,Madagascar: Escape 2 Africa,"['Family', 'Animation']",Eric Darnell,6.2
121,18360,Night at the Museum: Battle of the Smithsonian,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",Shawn Levy,5.9
122,2080,X-Men Origins: Wolverine,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Gavin Hood,6.2
123,605,The Matrix Revolutions,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Lilly Wachowski,6.4
124,109445,Frozen,"['Animation', 'Adventure', 'Family']",Chris Buck,7.3
125,604,The Matrix Reloaded,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Lilly Wachowski,6.7
126,76338,Thor: The Dark World,"['Action', 'Adventure', 'Fantasy']",Alan Taylor,6.8
127,76341,Mad Max: Fury Road,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",George Miller,7.2
128,13448,Angels & Demons,"['Thriller', 'Mystery']",Ron Howard,6.5
129,10195,Thor,"['Adventure', 'Fantasy', 'Action']",Kenneth Branagh,6.6
130,13053,Bolt,"['Animation', 'Family', 'Adventure', 'Comedy']",Chris Williams,6.3
131,19585,G-Force,"['Fantasy', 'Action', 'Adventure', 'Family', 'Comedy']",Hoyt Yeatman,5.1
132,57165,Wrath of the Titans,['Adventure'],Jonathan Liebesman,5.5
133,62213,Dark Shadows,"['Comedy', 'Fantasy']",Tim Burton,5.7
134,177677,Mission: Impossible - Rogue Nation,"['Action', 'Adventure', 'Thriller']",Christopher McQuarrie,7.1
135,7978,The Wolfman,"['Drama', 'Horror', 'Thriller']",Joe Johnston,5.5
136,5559,Bee Movie,"['Family', 'Animation', 'Adventure', 'Comedy']",Steve Hickner,5.7
137,49444,Kung Fu Panda 2,"['Animation', 'Family']",Jennifer Yuh Nelson,6.7
138,10196,The Last Airbender,"['Action', 'Adventure', 'Family', 'Fantasy']",M. Night Shyamalan,4.7
139,956,Mission: Impossible III,"['Adventure', 'Action', 'Thriller']",J.J. Abrams,6.5
